Perfil,Coord_X,Coord_Y,Lim_sup,Lim_inf,Da,CO_g
CG2-P115,591953,9808946,21,30,1.47,19.72
CG2-P116,587492,9808920,21,30,1.48,14.5
CG2-P117,593499,9805250,21,30,1.59,8.7
CG2-P118,592876,9805353,0,30,1.53,8.7
CG2-P119,592185,9804388,21,30,1.4,23.78
CG2-P120,589333,9807058,0,30,1.35,14.5
CG2-P121,595258,9798622,11,20,1.77,16.24
CG2-P122,592645,9801418,21,30,1.5,23.78
CG2-P123,593685,9799051,21,30,1.42,22.04
CG2-P124,593594,9799091,21,30,1.18,5.8
CG2-P125,593537,9799088,21,30,1.44,19.72
CG2-P126,579601,9842404,0,30,1.4,24.94
CG2-P127,579280,9842609,0,30,1.45,33.64
CG2-P128,579226,9843263,0,30,1.02,13.92
CG2-P129,581758,9844821,21,30,1.45,17.4
CG2-P130,579222,9843121,0,30,1.33,12.18
CG2-P131,577791,9855231,21,30,1.38,26.68
CG2-P132,575836,9847862,0,30,0.99,18.56
CG2-P133,576001,9848093,21,30,1.16,23.78
CG2-P135,574129,9848626,0,30,1.19,17.4
CG2-P136,568461,9850948,0,30,1.32,35.38
CG2-P137,568923,9849532,21,30,1.41,23.2
CG2-P139,573334,9850917,21,30,1.22,22.04
CG2-P141,579721,9851026,0,30,1.11,19.72
CG2-P142,571646,9846117,21,30,1.54,7.54
CG2-P143,568307,9851129,21,30,1.45,17.4
CG2-P145,513656,9875294,0,30,1.36,30.16
CG2-P146,513639,9876317,21,30,1.37,29
CG2-P147,514072,9876670,21,30,1.35,30.74
CG2-P148,513939,9876434,11,20,1.2,55.68
CG2-P149,513018,9879597,21,30,1.43,20.3
CG2-P150,511435,9881820,21,30,1.42,21.46
CG2-P151,511796,9879654,21,30,1.54,7.54
CG2-P152,514233,9881883,21,30,1.41,23.2
CG2-P153,518488,9880511,21,30,1.38,27.26
CG2-P154,614008,9697638,21,30,1.4,24.36
CG2-P156,605354,9700688,21,30,1.51,10.44
CG2-P157,604664,9701107,21,30,1.54,6.96
CG2-P158,603634,9700671,21,30,1.26,9.86
CG2-P159,602572,9693315,21,30,1.46,16.82
CG2-P160,610715,9696711,21,30,1.49,12.76
CG2-P161,600768,9692132,0,30,1.49,13.34
CG2-P162,601206,9689871,21,30,1.4,24.94
CG2-P163,583928,9670755,21,30,1.58,3.48
CG2-P164,582154,9672948,11,20,1.43,20.88
CG2-P165,582698,9672204,0,30,1.48,13.92
CG2-P166,588772,9675942,0,30,1.61,6.96
CG2-P167,587977,9675686,0,30,1.36,30.16
CG2-P168,588410,9692079,21,30,1.56,5.8
CG2-P169,610090,9692629,21,30,1.16,63.23
CG2-P170,587678,9692488,21,30,1.5,12.18
CG2-P171,532964,9886453,21,30,1.28,7.54
CG2-P172,530132,9882417,0,30,1.54,7.54
CG2-P173,532984,9884373,21,30,1.09,13.92
CG2-P174,531678,9883165,0,30,1.44,19.72
CG2-P175,534948,9886492,21,30,1.01,12.76
CG2-P176,538310,9880267,0,30,1.45,17.98
CG2-P177,541894,9883687,0,30,0.88,29
CG2-P178,538666,9878388,21,30,1.57,4.06
CG2-P179,547515,9883609,21,30,1.56,30.16
CG2-P180,537938,9878886,0,30,1.54,6.96
